UserID	WindowID	Split	ApplicationDate	JobID
47	1	Train	2012-04-04 15:56:23.537	169528
47	1	Train	2012-04-06 01:03:00.003	284009
47	1	Train	2012-04-05 02:40:27.753	2121
47	1	Train	2012-04-05 02:37:02.673	848187
47	1	Train	2012-04-05 22:44:06.653	733748
47	1	Train	2012-04-05 02:34:40.223	576958
47	1	Train	2012-04-05 22:55:03.583	262470
47	1	Train	2012-04-05 02:38:49.52	602298
72	1	Train	2012-04-02 22:36:43.033	834662
72	1	Train	2012-04-07 15:19:58.187	1020903
72	1	Train	2012-04-07 17:38:10.137	180313
72	1	Train	2012-04-30 20:05:15.293	480634
72	1	Train	2012-04-20 02:51:44.997	564184
80	1	Train	2012-04-04 10:53:19.847	908909
123	1	Train	2012-04-02 20:57:48.883	1080147
123	1	Train	2012-04-02 21:03:45.093	1080148
131	1	Train	2012-04-02 14:06:37.737	688863
131	1	Train	2012-04-05 15:08:47.357	1092900
131	1	Train	2012-04-05 17:09:34.33	50183
162	1	Train	2012-04-06 14:25:41.41	69667
162	1	Train	2012-04-06 14:15:52.387	822835
178	1	Train	2012-04-05 10:43:42.337	13298
203	1	Train	2012-04-02 10:01:27.867	148976
203	1	Train	2012-04-02 09:50:37.153	758079
203	1	Train	2012-04-03 09:47:58.053	717481
203	1	Train	2012-04-02 09:43:52.047	13175
203	1	Train	2012-04-02 10:02:45.643	1032422
344	1	Train	2012-04-01 15:38:28.11	519595
395	1	Train	2012-04-22 13:40:42.827	1075341
395	1	Train	2012-04-22 13:46:58.773	485208
395	1	Train	2012-04-09 18:15:44.083	784093
411	1	Train	2012-04-04 08:28:48.097	766183
411	1	Train	2012-04-04 08:30:20.24	314495
411	1	Train	2012-04-04 08:30:20.61	479001
415	1	Train	2012-04-06 07:21:04.043	580369
483	1	Train	2012-04-03 14:51:58.507	1098779
483	1	Train	2012-04-03 14:36:55.09	381246
496	1	Train	2012-04-09 13:49:33.503	1102826
496	1	Train	2012-04-09 13:33:48.257	932921
501	1	Train	2012-04-01 20:24:46.487	1091719
501	1	Train	2012-04-04 20:33:45.87	920491
501	1	Train	2012-04-04 20:37:42.387	752100
524	1	Train	2012-04-05 08:23:30.313	142459
524	1	Train	2012-04-05 14:37:23.193	135040
524	1	Train	2012-04-05 14:35:31.04	871031
547	1	Train	2012-04-02 11:46:45.077	1008042
547	1	Train	2012-04-03 10:24:24.773	1008052
547	1	Train	2012-04-02 11:33:40.23	449169
547	1	Train	2012-04-02 11:32:35.89	366888
547	1	Train	2012-04-02 11:35:19.343	153632
553	1	Train	2012-04-02 11:16:52.837	957
554	1	Train	2012-04-02 11:05:25.333	196603
554	1	Train	2012-04-02 05:08:41.413	300053
554	1	Train	2012-04-02 11:05:24.333	1078274
554	1	Train	2012-04-02 11:05:26.087	146817
554	1	Train	2012-04-02 11:05:25.833	654538
554	1	Train	2012-04-02 05:08:41.303	336293
554	1	Train	2012-04-02 11:05:25.76	640492
554	1	Train	2012-04-02 11:18:18.257	271546
554	1	Train	2012-04-02 05:08:44.72	283949
554	1	Train	2012-04-02 05:11:22.263	1066757
554	1	Train	2012-04-02 11:05:25.283	300007
554	1	Train	2012-04-02 11:05:25.367	1042648
554	1	Train	2012-04-02 04:57:57.623	680718
554	1	Train	2012-04-02 05:08:43.63	600058
554	1	Train	2012-04-02 11:05:24.643	25820
554	1	Train	2012-04-02 05:08:38.72	403896
554	1	Train	2012-04-02 05:08:42.793	497069
554	1	Train	2012-04-02 05:08:40.687	802921
554	1	Train	2012-04-02 05:07:58.51	473911
554	1	Train	2012-04-02 05:08:40.947	811833
554	1	Train	2012-04-02 05:08:40.687	35071
554	1	Train	2012-04-02 05:08:43.687	300020
554	1	Train	2012-04-02 11:05:23.78	812337
554	1	Train	2012-04-02 05:08:41.84	537961
554	1	Train	2012-04-02 11:05:23.507	600011
554	1	Train	2012-04-02 11:05:25.37	871066
554	1	Train	2012-04-02 11:05:26.177	1113088
554	1	Train	2012-04-02 11:15:11.807	946506
554	1	Train	2012-04-02 05:08:39.433	600033
554	1	Train	2012-04-02 11:05:25.01	283948
554	1	Train	2012-04-02 11:05:25.757	600045
554	1	Train	2012-04-02 11:05:25.093	1091388
554	1	Train	2012-04-02 11:05:25.587	18
554	1	Train	2012-04-02 05:08:43.527	488127
554	1	Train	2012-04-02 05:08:38.63	957
554	1	Train	2012-04-02 05:08:41.417	328100
554	1	Train	2012-04-02 11:05:25.1	28139
554	1	Train	2012-04-02 11:05:24.267	817048
554	1	Train	2012-04-02 11:05:23.997	251966
554	1	Train	2012-04-02 05:08:41.38	316374
554	1	Train	2012-04-02 11:05:24.433	747584
554	1	Train	2012-04-02 11:05:23.61	491965
554	1	Train	2012-04-02 05:08:43.847	537959
554	1	Train	2012-04-02 05:08:38.88	280275
554	1	Train	2012-04-02 05:08:41.31	855139
554	1	Train	2012-04-02 05:08:44.563	149199
554	1	Train	2012-04-02 05:08:41.717	449029
554	1	Train	2012-04-02 10:59:19.397	627377
554	1	Train	2012-04-02 05:08:44.12	40
554	1	Train	2012-04-02 05:08:43.747	273293
554	1	Train	2012-04-02 11:05:26.28	773410
555	1	Train	2012-04-06 21:02:26.85	880943
555	1	Train	2012-04-06 21:00:54.797	1058892
640	1	Train	2012-04-03 10:35:54.373	80574
640	1	Train	2012-04-03 09:23:26.3	900359
644	1	Train	2012-04-04 00:11:31.52	365842
645	1	Train	2012-04-02 21:26:53.877	187357
645	1	Train	2012-04-02 21:26:53.857	464796
645	1	Train	2012-04-02 21:26:54.05	234872
645	1	Train	2012-04-02 21:20:19.513	222539
